0,0,"[16, 16, 13]","[14, -16, -13]",0
0,1,"[7, 7, 7]","[-7, 23, -7]",0
0,2,"[19, 18, 20]","[-19, -18, 10]",2
1,0,"[22, 22, 24]","[8, -22, -24]",2
1,1,"[7, 7, 7]","[-7, 23, -7]",0
1,2,"[20, 20, 21]","[-20, -20, 9]",2
2,0,"[23, 23, 22]","[7, -23, -22]",0
2,1,"[5, 5, 5]","[-5, 25, -5]",0
2,2,"[24, 24, 22]","[-24, -24, 8]",0
3,0,"[19, 20, 18]","[11, -20, -18]",1
3,1,"[9, 9, 10]","[-9, 21, -10]",2
3,2,"[20, 20, 22]","[-20, -20, 8]",2
4,0,"[23, 23, 25]","[7, -23, -25]",2
4,1,"[10, 10, 9]","[-10, 20, -9]",0
4,2,"[14, 14, 15]","[-14, -14, 15]",2
5,0,"[27, 27, 26]","[3, -27, -26]",0
5,1,"[15, 15, 16]","[-15, 15, -16]",2
5,2,"[22, 22, 19]","[-22, -22, 11]",0
6,0,"[23, 24, 23]","[7, -24, -23]",1
6,1,"[8, 7, 8]","[-8, 23, -8]",0
6,2,"[18, 18, 19]","[-18, -18, 11]",2
7,0,"[14, 14, 14]","[16, -14, -14]",0
7,1,"[10, 10, 10]","[-10, 20, -10]",0
7,2,"[24, 24, 25]","[-24, -24, 5]",2
8,0,"[26, 26, 27]","[4, -26, -27]",2
8,1,"[9, 8, 9]","[-9, 22, -9]",0
8,2,"[23, 23, 25]","[-23, -23, 5]",2
9,0,"[23, 23, 23]","[7, -23, -23]",0
9,1,"[15, 15, 14]","[-15, 15, -14]",0
9,2,"[11, 12, 12]","[-11, -12, 18]",1
0,0,"[14, 14, 17]","[16, -14, -17]",2
0,1,"[12, 12, 10]","[-12, 18, -10]",0
0,2,"[23, 23, 24]","[-23, -23, 6]",2
1,0,"[27, 27, 27]","[3, -27, -27]",0
1,1,"[8, 8, 8]","[-8, 22, -8]",0
1,2,"[19, 19, 19]","[-19, -19, 11]",0
2,0,"[20, 20, 16]","[10, -20, -16]",0
2,1,"[6, 6, 7]","[-6, 24, -7]",2
2,2,"[19, 19, 19]","[-19, -19, 11]",0
3,0,"[23, 23, 21]","[7, -23, -21]",0
3,1,"[10, 10, 10]","[-10, 20, -10]",0
3,2,"[22, 22, 22]","[-22, -22, 8]",0
4,0,"[20, 20, 20]","[10, -20, -20]",0
4,1,"[14, 13, 13]","[-14, 17, -13]",0
4,2,"[16, 16, 16]","[-16, -16, 14]",0
5,0,"[26, 26, 26]","[4, -26, -26]",0
5,1,"[16, 17, 18]","[-16, 13, -18]",2
5,2,"[18, 17, 18]","[-18, -17, 12]",0
6,0,"[18, 18, 14]","[12, -18, -14]",0
6,1,"[11, 11, 12]","[-11, 19, -12]",2
6,2,"[19, 19, 20]","[-19, -19, 10]",2
7,0,"[15, 15, 17]","[15, -15, -17]",2
7,1,"[14, 14, 14]","[-14, 16, -14]",0
7,2,"[21, 21, 23]","[-21, -21, 7]",2
8,0,"[17, 18, 17]","[13, -18, -17]",1
8,1,"[13, 13, 13]","[-13, 17, -13]",0
8,2,"[28, 27, 28]","[-28, -27, 2]",0
9,0,"[25, 24, 24]","[5, -24, -24]",0
9,1,"[15, 15, 16]","[-15, 15, -16]",2
9,2,"[15, 16, 16]","[-15, -16, 14]",1
0,0,"[19, 19, 20]","[11, -19, -20]",2
0,1,"[14, 14, 15]","[-14, 16, -15]",2
0,2,"[26, 26, 25]","[-26, -26, 5]",0
1,0,"[21, 24, 22]","[9, -24, -22]",1
1,1,"[15, 15, 13]","[-15, 15, -13]",0
1,2,"[19, 20, 21]","[-19, -20, 9]",2
2,0,"[15, 15, 15]","[15, -15, -15]",0
2,1,"[7, 7, 7]","[-7, 23, -7]",0
2,2,"[16, 18, 16]","[-16, -18, 14]",1
3,0,"[25, 24, 22]","[5, -24, -22]",0
3,1,"[11, 11, 11]","[-11, 19, -11]",0
3,2,"[15, 15, 14]","[-15, -15, 16]",0
4,0,"[14, 15, 15]","[16, -15, -15]",1
4,1,"[17, 17, 17]","[-17, 13, -17]",0
4,2,"[19, 19, 19]","[-19, -19, 11]",0
5,0,"[13, 14, 11]","[17, -14, -11]",1
5,1,"[23, 24, 25]","[-23, 6, -25]",2
5,2,"[14, 13, 14]","[-14, -13, 16]",0
6,0,"[10, 9, 10]","[20, -9, -10]",0
6,1,"[17, 16, 17]","[-17, 14, -17]",0
6,2,"[16, 17, 18]","[-16, -17, 12]",2
7,0,"[16, 16, 17]","[14, -16, -17]",2
7,1,"[18, 18, 19]","[-18, 12, -19]",2
7,2,"[16, 17, 15]","[-16, -17, 15]",1
8,0,"[9, 11, 10]","[21, -11, -10]",1
8,1,"[15, 15, 16]","[-15, 15, -16]",2
8,2,"[23, 23, 23]","[-23, -23, 7]",0
9,0,"[25, 25, 24]","[5, -25, -24]",0
9,1,"[18, 18, 18]","[-18, 12, -18]",0
9,2,"[19, 19, 18]","[-19, -19, 12]",0
0,0,"[15, 17, 18]","[15, -17, -18]",2
0,1,"[15, 17, 17]","[-15, 13, -17]",1
0,2,"[21, 21, 21]","[-21, -21, 9]",0
1,0,"[17, 18, 16]","[13, -18, -16]",1
1,1,"[13, 13, 13]","[-13, 17, -13]",0
1,2,"[17, 17, 18]","[-17, -17, 12]",2
2,0,"[15, 16, 15]","[15, -16, -15]",1
2,1,"[7, 7, 8]","[-7, 23, -8]",2
2,2,"[6, 10, 6]","[-6, -10, 24]",1
3,0,"[20, 19, 18]","[10, -19, -18]",0
3,1,"[14, 14, 15]","[-14, 16, -15]",2
3,2,"[4, 4, 4]","[-4, -4, 26]",0
4,0,"[10, 11, 10]","[20, -11, -10]",1
4,1,"[23, 22, 23]","[-23, 8, -23]",0
4,2,"[17, 18, 17]","[-17, -18, 13]",1
5,0,"[2, 2, 2]","[28, -2, -2]",0
5,1,"[25, 25, 24]","[-25, 5, -24]",0
5,2,"[9, 10, 6]","[-9, -10, 24]",1
6,0,"[5, 5, 5]","[25, -5, -5]",0
6,1,"[16, 17, 18]","[-16, 13, -18]",2
6,2,"[15, 15, 15]","[-15, -15, 15]",0
7,0,"[16, 15, 16]","[14, -15, -16]",0
7,1,"[18, 18, 19]","[-18, 12, -19]",2
7,2,"[0, 2, 0]","[0, -2, 30]",1
8,0,"[3, 6, 7]","[27, -6, -7]",2
8,1,"[18, 18, 19]","[-18, 12, -19]",2
8,2,"[18, 18, 13]","[-18, -18, 17]",0
9,0,"[9, 10, 12]","[21, -10, -12]",2
9,1,"[15, 15, 17]","[-15, 15, -17]",2
9,2,"[19, 19, 18]","[-19, -19, 12]",0
0,0,"[15, 16, 15]","[15, -16, -15]",1
0,1,"[17, 19, 19]","[-17, 11, -19]",1
0,2,"[14, 15, 13]","[-14, -15, 17]",1
1,0,"[13, 14, 10]","[17, -14, -10]",1
1,1,"[14, 15, 15]","[-14, 15, -15]",1
1,2,"[14, 17, 15]","[-14, -17, 15]",1
2,0,"[11, 10, 10]","[19, -10, -10]",0
2,1,"[9, 9, 9]","[-9, 21, -9]",0
2,2,"[3, 3, 2]","[-3, -3, 28]",0
3,0,"[7, 10, 9]","[23, -10, -9]",1
3,1,"[17, 17, 17]","[-17, 13, -17]",0
3,2,"[3, 3, 1]","[-3, -3, 29]",0
4,0,"[5, 5, 5]","[25, -5, -5]",0
4,1,"[24, 25, 26]","[-24, 5, -26]",2
4,2,"[14, 14, 14]","[-14, -14, 16]",0
5,0,"[1, 1, 1]","[29, -1, -1]",0
5,1,"[17, 19, 19]","[-17, 11, -19]",1
5,2,"[4, 4, 5]","[-4, -4, 25]",2
6,0,"[2, 1, 0]","[28, -1, 0]",0
6,1,"[17, 18, 19]","[-17, 12, -19]",2
